volcano_name,country,type,latitude_(dd),longitude_(dd),elevation_(m),continent
Mashkovtsev,Russia,Stratovolcano,51.1,156.72,503,Europe
Mashu,Japan,Caldera,43.57,144.57,855,Asia
Mauna Kea,United States,Shield,19.82,-155.47,4205,North America
Mauna Loa,United States,Shield,19.48,-155.61,4170,North America
Mayon,Philippines,Stratovolcano,13.26,123.69,2462,Asia
McDonald Islands,Australia,Complex,-53.03,72.6,230,Australia
McLoughlin,United States,"Lava cone, Stratovolcano",42.45,-122.32,2894,North America
Mega Basalt Field,"Ethiopia, Kenya",Pyroclastic cone,37.42,4.08,1067,Africa
Menan Buttes,United States,Tuff ring,43.7,-111.96,1713,North America
Menengai,Kenya,Shield,-0.2,36.07,2278,Africa
Merapi,Indonesia,Stratovolcano,-7.54,110.44,2911,Asia
Merbabu,Indonesia,Stratovolcano,-7.45,110.43,3145,Asia
Meru,Tanzania,Stratovolcano,-3.25,36.75,4565,Africa
Methana,Greece,Lava dome,37.62,23.34,760,Europe
Metis Shoal,Tonga,Submarine,-19.18,-174.87,43,Australia
Michael,United Kingdom,Stratovolcano,-57.78,-26.45,990,Europe
Michoacan-Guanajuato,Mexico,Cinder Cone,19.85,-101.75,3860,North America
Mílos,Greece,Stratovolcano,36.7,24.44,751,Europe
Miyake-jima,Japan,Stratovolcano,34.08,139.53,815,Asia
Moffett,United States,Stratovolcano,51.94,-176.75,1196,North America
Mojanda,Ecuador,Stratovolcano,0.13,-78.27,4263,South America
Momotombo,Nicaragua,Stratovolcano,12.42,-86.54,1297,North America
Monaco Bank,Portugal,Submarine,37.6,-25.88,-197,Europe
Mono Lake Vol Field,United States,Volcanic field,38.0,-119.03,2121,North America
Monowai Seamount,New Zealand,Submarine,-25.89,-177.19,-132,Australia
Moti,Indonesia,Stratovolcano,0.45,127.4,950,Asia
Muria,Indonesia,Stratovolcano,-6.62,110.88,1625,Asia
Nantai,Japan,Stratovolcano,36.76,139.48,2486,Asia
Nasu,Japan,Stratovolcano,37.12,139.97,1915,Asia
Navajo Volcanic Field,United States,Volcanic field,,,2740,North America
"Negro, Cerro",Nicaragua,Cinder Cone,12.51,-86.7,728,North America
Nemo Peak,Russia,Caldera,49.57,154.81,1018,Europe
Nevis Peak,St. Kitts and Nevis,Stratovolcano,17.15,-62.58,985,North America
Newberry,United States,Shield,43.72,-121.23,2434,North America
Newer Volcanics Province,Australia,Shield,-37.77,142.5,1011,Australia
Ngauruhoe,New Zealand,Stratovolcano,-39.13,175.64,1978,Australia
Nikko-Shirane,Japan,Shield,36.8,139.38,2578,Asia
Nipesotsu-Maruyama,Japan,Stratovolcano,43.45,143.04,2013,Asia
Nisyros,Greece,Stratovolcano,36.59,27.16,698,Europe
